Fecha,Temp_Max,Temp_Min,Temp_Prom,Humedad_Max,Humedad_Min,Humedad_Prom,Lluvia,Presion,Viento_Max,Año,Decada
1994-07-23,28.6,21.8,24.68,96,73,87.29,5.8,1005.62,6.6,1994,1990
1994-07-24,28.9,21.8,24.78,96,72,87.33,9.7,1006.4,6.5,1994,1990
1994-07-25,28.8,22.2,25.06,95,72,86.71,4.2,1005.92,6.9,1994,1990
1994-07-26,28.7,22.8,24.75,95,69,87.42,14.1,1005.5,5.2,1994,1990
1994-07-27,28.2,22.1,24.74,95,72,86.17,9.6,1005.02,7.2,1994,1990
1994-07-28,29.5,21.7,25.27,97,68,84.5,16.9,1004.87,6.4,1994,1990
1994-07-29,26.8,21.7,24.22,99,80,91.38,14.6,1005.6,4.9,1994,1990
1994-07-30,27.5,21.6,24.15,99,76,92.0,22.9,1006.56,7.9,1994,1990
1994-07-31,27.5,21.2,24.33,99,82,91.54,8.8,1006.97,8.6,1994,1990
1994-08-01,26.6,22.3,24.23,99,80,91.42,22.3,1006.56,6.8,1994,1990
1994-08-02,28.4,22.2,24.78,96,77,88.96,10.5,1005.3,7.5,1994,1990
1994-08-03,28.7,21.7,24.7,99,76,88.79,8.8,1005.74,7.2,1994,1990
1994-08-04,29.3,22.1,24.98,98,69,87.5,6.9,1005.71,6.1,1994,1990
1994-08-05,28.0,21.9,25.02,98,75,88.58,7.0,1005.98,5.4,1994,1990
1994-08-06,26.3,22.7,23.93,99,81,92.71,34.8,1006.73,6.4,1994,1990
1994-08-07,27.1,21.7,23.61,99,79,94.5,22.9,1007.25,7.2,1994,1990
1994-08-08,27.3,20.8,23.9,99,77,91.17,8.3,1006.99,6.1,1994,1990
1994-08-09,26.5,21.7,23.94,99,82,92.33,16.2,1006.87,6.1,1994,1990
1994-08-10,26.1,22.2,23.88,96,83,90.96,16.6,1006.2,8.0,1994,1990
1994-08-11,28.4,21.2,24.16,97,66,87.54,5.7,1006.0,6.6,1994,1990
1994-08-12,27.3,21.1,24.11,99,77,89.96,7.5,1006.85,7.4,1994,1990
1994-08-13,28.0,22.0,24.5,96,72,87.96,15.6,1007.15,7.1,1994,1990
1994-08-14,27.1,21.0,23.8,98,76,90.88,13.4,1006.92,7.0,1994,1990
1994-08-15,27.2,21.2,23.98,99,76,91.25,6.4,1006.57,6.6,1994,1990
1994-08-16,29.2,22.5,25.2,96,68,86.46,3.7,1006.23,7.8,1994,1990
1994-08-17,28.9,21.6,25.09,94,72,85.0,6.3,1005.89,6.5,1994,1990
1994-08-18,27.0,22.2,24.38,96,77,89.04,14.5,1006.1,6.5,1994,1990
1994-08-19,27.7,21.4,24.29,98,77,89.79,16.7,1005.63,6.5,1994,1990
1994-08-20,26.4,22.0,23.84,99,83,92.33,22.4,1005.93,8.2,1994,1990
1994-08-21,27.8,21.2,23.98,99,74,90.79,22.5,1006.25,5.6,1994,1990
1994-08-22,28.1,21.5,24.41,96,71,86.83,13.1,1005.95,7.2,1994,1990
1994-08-23,27.0,21.7,24.09,96,77,89.96,11.8,1006.4,7.6,1994,1990
1994-08-24,27.7,22.4,24.36,96,75,87.25,6.7,1006.95,6.3,1994,1990
1994-08-25,27.9,21.7,24.37,97,73,89.08,20.0,1005.99,7.2,1994,1990
1994-08-26,28.0,21.5,24.65,96,78,88.62,3.6,1004.56,8.9,1994,1990
1994-08-27,28.3,22.5,24.78,96,75,88.71,14.4,1005.04,8.7,1994,1990
1994-08-28,28.4,21.3,24.92,99,73,88.79,5.5,1006.0,8.7,1994,1990
1994-08-29,29.5,22.7,25.02,96,67,87.62,6.4,1006.19,6.4,1994,1990
1994-08-30,28.6,21.8,24.4,99,69,88.62,15.3,1006.85,6.7,1994,1990
1994-08-31,27.7,21.8,24.62,95,76,88.54,13.2,1007.31,6.9,1994,1990
1994-09-01,28.0,22.2,24.51,96,72,88.71,10.0,1006.97,6.9,1994,1990
1994-09-02,28.3,21.3,24.69,96,70,85.17,7.9,1006.71,5.8,1994,1990
1994-09-03,28.2,22.0,24.66,96,69,86.75,10.4,1006.61,6.8,1994,1990
1994-09-04,28.2,21.9,24.78,97,73,88.33,10.9,1006.2,5.6,1994,1990
1994-09-05,29.7,22.0,25.46,95,70,85.75,4.9,1005.73,5.9,1994,1990
1994-09-06,28.8,22.2,25.35,99,70,86.92,12.5,1005.5,5.8,1994,1990
